date,nav_bh,nav_ma20,nav_mom60,dd_bh,dd_ma20,dd_mom60
2019-01-02,1.0,1.0,1.0,0.0,0.0,0.0
2019-01-03,0.990546844592625,1.0,1.0,-0.009453155407375013,0.0,0.0
2019-01-04,0.9750165670240641,1.0,1.0,-0.02498343297593586,0.0,0.0
2019-01-07,0.998649193224456,1.0,1.0,-0.001350806775544,0.0,0.0
2019-01-08,0.9945980844880519,1.0,1.0,-0.00540191551194813,0.0,0.0
2019-01-09,1.01282899191503,1.0,1.0,0.0,0.0,0.0
2019-01-10,1.0101281653180787,1.0,1.0,-0.0026666165942235143,0.0,0.0
2019-01-11,1.019581058407408,1.0,1.0,0.0,0.0,0.0
2019-01-14,1.01282899191503,1.0,1.0,-0.006622393027705842,0.0,0.0
2019-01-15,1.0216069406731672,1.0,1.0,0.0,0.0,0.0
2019-01-16,1.0202564617951801,1.0,1.0,-0.0013219163106871212,0.0,0.0
2019-01-17,1.0202564617951801,1.0,1.0,-0.0013219163106871212,0.0,0.0
2019-01-18,1.02565798383006,1.0,1.0,0.0,0.0,0.0
2019-01-21,1.0330856504487442,1.0,1.0,0.0,0.0,0.0
2019-01-22,1.030997336488145,1.0,1.0,-0.0020214335178231346,0.0,0.0
2019-01-23,1.0261241229969968,1.0,1.0,-0.006738577240641641,0.0,0.0
2019-01-24,1.030997336488145,1.0,1.0,-0.0020214335178231346,0.0,0.0
2019-01-25,1.0442239369807127,1.0,1.0,0.0,0.0,0.0
2019-01-28,1.0463125132593574,1.0,1.0,0.0,0.0,0.0
2019-01-29,1.0372626718470108,1.0,1.0,-0.008649271893112931,0.0,0.0
2019-01-30,1.0351738332503206,0.9965612009369615,1.0,-0.010645653060517013,-0.0034387990630384557,0.0
2019-02-11,1.0463125132593574,1.0072844012054656,1.0,0.0,0.0,0.0
2019-02-12,1.0532739751315936,1.0139861961898786,1.0,0.0,0.0,0.0
2019-02-13,1.0511852676939262,1.011975398847801,1.0,-0.001983061849986867,-0.001983061849986978,0.0
2019-02-14,1.0477047007065867,1.0086246591889811,1.0,-0.00528758381627259,-0.005287583816272701,0.0
2019-02-15,1.0449200634940832,1.0059438906885323,1.0,-0.00793137572440894,-0.007931375724409051,0.0
2019-02-18,1.0532739751315938,1.0139861961898786,1.0,0.0,0.0,0.0
2019-02-19,1.0511852676939264,1.011975398847801,1.0,-0.001983061849986867,-0.001983061849986978,0.0
2019-02-20,1.0630199430573106,1.0233686334080312,1.0,0.0,0.0,0.0
2019-02-21,1.0734621686554204,1.0334213574513278,1.0,0.0,0.0,0.0
2019-02-22,1.0713738546948213,1.0314109389093775,1.0,-0.0019454006126875534,-0.0019454006126876644,0.0
2019-02-25,1.079031377500916,1.0387828313188707,1.0,0.0,0.0,0.0
2019-02-26,1.0818161458724422,1.0414637260860287,1.0,0.0,0.0,0.0
2019-02-27,1.0811198226205379,1.04079337612753,1.0,-0.0006436613601683572,-0.0006436613601683572,0.0
2019-03-04,1.071373854694821,1.0314109389093775,1.0,-0.009652556229136189,-0.0096525562291363,0.0
2019-03-05,1.068589479800363,1.0287304229423468,1.0,-0.012226352992182776,-0.012226352992182887,0.0
2019-03-06,1.071373854694821,1.0314109389093775,1.0,-0.009652556229136189,-0.0096525562291363,0.0
2019-03-07,1.0671969644555772,1.027389849292059,1.0,-0.013513554472858402,-0.013513554472858402,0.0
2019-03-08,1.058146860725185,1.0186773200989232,1.0,-0.02187921232047152,-0.02187921232047141,0.0
2019-03-11,1.0602357649013865,1.0172257049177822,1.0,-0.019948288859796937,-0.02327303444291473,0.0
2019-03-12,1.0755507449340649,1.0172257049177822,1.0,-0.005791557985413975,-0.02327303444291473,0.0
2019-03-13,1.0734621686554202,1.0138008414681934,1.0,-0.007722178346936115,-0.026561544031683537,0.0
2019-03-14,1.0727663044600955,1.0131436523027368,1.0,-0.008365415368291051,-0.027192568568588316,0.0
2019-03-15,1.0804235649481448,1.02037533438041,1.0,-0.0012872621005063367,-0.020248800968682645,0.0
2019-03-18,1.0873851579794036,1.0269500130967446,1.0,0.0,-0.013935879498970793,0.0
2019-03-19,1.0915622449571818,1.0308949441959574,1.0,0.0,-0.010148007679336324,0.0
2019-03-20,1.0929545635634335,1.0322098799392243,1.0,0.0,-0.008885423385393998,0.0
2019-03-21,1.10200440497578,1.0407567454989883,1.0,0.0,-0.0006788336159313513,0.0
2019-03-22,1.1047890421882836,1.0433866169855222,1.0,0.0,0.0,0.0
2019-03-25,1.088081481231308,1.027607635805143,1.0,-0.015122851801537163,-0.015122851801537163,0.0
2019-03-26,1.0950430742625668,1.0341823145214775,1.0,-0.008821564618719191,-0.008821564618719302,0.0
2019-03-27,1.0929545635634335,1.032209879939224,1.0,-0.010711980453217751,-0.010711980453217862,0.0
2019-03-28,1.0929545635634335,1.032209879939224,1.0,-0.010711980453217751,-0.010711980453217862,0.0
2019-03-29,1.10200440497578,1.0407567454989881,1.0,-0.002520514873127211,-0.002520514873127322,0.0
2019-04-01,1.111750569640031,1.0499612337671507,1.0,0.0,0.0,0.0
2019-04-02,1.1159275910382975,1.0539061029316574,1.0,0.0,0.0,0.0
2019-04-03,1.1159275910382975,1.0539061029316574,1.0,0.0,0.0,0.0
2019-04-08,1.1263698166364073,1.0637679661693944,1.0,0.0,0.0,0.0
2019-04-09,1.1333314752471777,1.0703427068204352,1.0,0.0,0.0,0.0
2019-04-10,1.1347234659558725,1.071657332890172,1.0,0.0,0.0,0.0
2019-04-11,1.1298499901466788,1.0670547171478546,1.0,-0.004294857694767451,-0.004294857694767451,0.0
2019-04-12,1.1291540603718426,1.066397466047692,0.9979590511741335,-0.004908161108079567,-0.004908161108079678,-0.002040948825866473
2019-04-15,1.139596548287998,1.0762595770242531,1.007188239376558,0.0,0.0,0.0
2019-04-16,1.1430772464343602,1.0795468234803614,1.0102645195242144,0.0,0.0,0.0
2019-04-17,1.152126956687684,1.0880935651707133,1.0182627551722656,0.0,0.0,0.0
2019-04-18,1.1514308957538253,1.087436190201139,1.0176475686946256,-0.0006041529796853018,-0.0006041529796854128,-0.0006041529796854128
2019-04-19,1.1528231487805656,1.0887510640096998,1.0188780575697243,0.0,0.0,0.0
2019-04-22,1.151430895753825,1.087436190201139,1.0176475686946256,-0.0012076900331271512,-0.0012076900331269291,-0.0012076900331269291
2019-04-23,1.1563041092449733,1.0920385582046321,1.0219545695570178,0.0,0.0,0.0
2019-04-24,1.1583922920465497,1.0940106831133556,1.023800128989938,0.0,0.0,0.0
2019-04-25,1.161177060418076,1.0966406784693015,1.026261338579773,0.0,0.0,0.0
2019-04-26,1.1479500664484399,1.0841488198756186,1.014571172627151,-0.011391022455157551,-0.01139102245515744,-0.01139102245515733
2019-04-29,1.1528231487805656,1.0887510640097,1.0188780575697247,-0.007194347806442791,-0.00719434780644268,-0.007194347806442569
2019-04-30,1.1528231487805656,1.0887510640097,1.0188780575697247,-0.007194347806442791,-0.00719434780644268,-0.007194347806442569
2019-05-02,1.1556080483111146,1.091381183235058,1.0213393830793782,-0.004796005963945138,-0.004796005963945027,-0.004796005963945027
2019-05-03,1.1660501427502017,1.101242922603383,1.030568223522347,0.0,0.0,0.0
2019-05-06,1.145861752487841,1.0821765710974836,1.0127254972744124,-0.01731348380503195,-0.017313483805031726,-0.017313483805031837
2019-05-07,1.1576967557487823,1.0806344694836696,1.0231854061915733,-0.00716383172143642,-0.018713812090609627,-0.00716383172143642
2019-05-08,1.1493427129522489,1.0712966108824933,1.0158020092617062,-0.014328225850174237,-0.02719319335110504,-0.014328225850174015
2019-05-09,1.135419658048754,1.0697700132119856,1.003496656831444,-0.026268582780843097,-0.0285794430505798,-0.026268582780842875
2019-05-10,1.1347234659558725,1.0697700132119856,1.0028813544339854,-0.026865634371814662,-0.0285794430505798,-0.02686563437181433
2019-05-13,1.1159275910382978,1.0697700132119856,0.9862693489007869,-0.042984902513443224,-0.0285794430505798,-0.04298490251344289
2019-05-14,1.1089658012685049,1.0697700132119856,0.9801164408460185,-0.04895530594169806,-0.0285794430505798,-0.048955305941697835
2019-05-15,1.1103583166132907,1.0697700132119856,0.9813471615607545,-0.04776109027829489,-0.0285794430505798,-0.04776109027829456
2019-05-16,1.100612020790017,1.0697700132119856,0.9727332757557886,-0.05611947510751536,-0.0285794430505798,-0.05611947510751514
2019-05-17,1.0894737342580485,1.0697700132119856,0.9628891329153613,-0.06567162567429818,-0.0285794430505798,-0.06567162567429785
2019-05-20,1.0887776077446782,1.0697700132119856,0.9622738884778118,-0.06626862102453968,-0.0285794430505798,-0.06626862102453934
2019-05-21,1.0915622449571818,1.0697700132119856,0.9647349821478279,-0.06388052714211379,-0.0285794430505798,-0.06388052714211356
2019-05-22,1.0915622449571818,1.0697700132119856,0.9647349821478279,-0.06388052714211379,-0.0285794430505798,-0.06388052714211356
2019-05-23,1.071373854694821,1.0697700132119856,0.9468922558998933,-0.08119401094714562,-0.0285794430505798,-0.0811940109471454
2019-05-24,1.0769430635403168,1.0697700132119856,0.945542934435236,-0.07641787942302403,-0.0285794430505798,-0.08250330948154583
2019-05-27,1.0741584263278132,1.0697700132119856,0.9417506580898527,-0.07880597330544992,-0.0285794430505798,-0.08618310113320549
2019-05-28,1.0734621686554202,1.0697700132119856,0.9404086634020746,-0.07940308113715155,-0.0285794430505798,-0.08748529021409068
2019-05-29,1.068589479800363,1.0697700132119856,0.9404086634020746,-0.08358187986665111,-0.0285794430505798,-0.08748529021409068
2019-05-30,1.077639058894664,1.0697700132119856,0.9404086634020746,-0.07582099655424301,-0.0285794430505798,-0.08748529021409068
2019-05-31,1.0922581091525063,1.0697700132119856,0.9518259893927667,-0.06328375675479292,-0.0285794430505798,-0.07640661950593586
2019-06-03,1.0936506900768037,1.0697700132119856,0.9530395255569498,-0.06208948485065946,-0.0285794430505798,-0.07522907867313655
2019-06-04,1.0866891626250563,1.0697700132119856,0.9469730448424365,-0.06805966331599389,-0.0285794430505798,-0.08111561832771552
2019-06-05,1.0901698607714185,1.0697700132119856,0.9500062280517692,-0.06507463032405691,-0.0285794430505798,-0.07817240395325553
2019-06-06,1.0818161458724422,1.0697700132119856,0.9427265540606163,-0.07223874324914392,-0.0285794430505798,-0.08523615172365728
2019-06-10,1.100612020790017,1.0697700132119856,0.9591058348276913,-0.05611947510751536,-0.0285794430505798,-0.0693427053770459
2019-06-11,1.1054852342811652,1.0729822443344856,0.9633524970532832,-0.051940226452175,-0.025662528847030464,-0.06522200562261593
2019-06-12,1.109662124520409,1.077036327486629,0.9669923626228215,-0.04835814186926646,-0.02198115839830206,-0.06169010401100039
2019-06-13,1.100612020790017,1.0682523109199942,0.9591058348276913,-0.05611947510751536,-0.029957615169410312,-0.0693427053770459
2019-06-14,1.0985236412499064,1.0662253329952938,0.957285959190846,-0.05791046115823961,-0.031798242594201054,-0.07110860073002423
2019-06-17,1.0957389384578915,1.0635225048082457,0.9548592868979473,-0.060298611281395575,-0.034252585892642795,-0.07346329422581699
2019-06-18,1.0985236412499062,1.0662253329952938,0.957285959190846,-0.05791046115823972,-0.031798242594201054,-0.07110860073002423
