date,close,high,low,open,volume
2019-01-02,14.542258262634277,14.905568924179342,14.522618633664276,14.895749109694341,34128292
2019-01-03,14.404788970947266,14.532439073276619,14.385150839425842,14.49316281023377,53388588
2019-01-04,14.17894458770752,14.296776355763315,14.139668330551036,14.296776355763315,85169860
2019-01-07,14.522618293762207,14.542257922272542,14.38514988394963,14.444065772894046,58422552
2019-01-08,14.463706016540527,14.561898180266812,14.444067883453972,14.561898180266812,44026800
2019-01-09,14.72882080078125,14.758278742041439,14.52261671025306,14.52261671025306,45722092
2019-01-10,14.689545631408691,14.709183760937332,14.630629744529532,14.689545631408693,11293132
2019-01-11,14.827016830444336,14.87611291266435,14.758282614995021,14.787740563985736,41451660
2019-01-14,14.72882080078125,14.817193126268684,14.679724731445312,14.817193126268684,21193620
2019-01-15,14.856470108032227,14.885928047760316,14.738639847412923,14.738639847412923,47345800
2019-01-16,14.836833953857422,14.866290399209332,14.797556196232787,14.856472083523112,61370012
2019-01-17,14.836833953857422,14.905568156833967,14.758279936901404,14.846652269543641,40082956
2019-01-18,14.915388107299805,14.944846054173663,14.807377633153544,14.876111843663605,33173964
2019-01-21,15.02340030670166,15.062676570931217,14.974304227267995,14.993942359382773,41019024
2019-01-22,14.993030548095703,15.063895336725308,14.94241262125505,15.063895336725308,35355724
2019-01-23,14.922161102294922,14.982903219728849,14.912038445880079,14.982903219728849,25629768
2019-01-24,14.993030548095703,15.013277409884656,14.932288417992305,14.972782141570212,14002024
2019-01-25,15.185378074645996,15.205624936464883,15.094266424092735,15.10438908263391,29283112
2019-01-28,15.215747833251953,15.276488413493162,15.195500973171551,15.215747833251953,15300572
2019-01-29,15.08414077758789,15.094264979896936,15.023398653206405,15.084140777587892,17679160
2019-01-30,15.053770065307617,15.114512191100996,15.023399002410926,15.084141128204307,21020916
2019-02-11,15.215747833251953,15.316983678390375,15.155005708274338,15.25624155341276,26459600
2019-02-12,15.31698226928711,15.337229127504878,15.256240149897534,15.256240149897534,24656600
2019-02-13,15.286616325378418,15.377727990217748,15.266369460384876,15.377727990217748,16630800
2019-02-14,15.235994338989258,15.337230181773238,15.235994338989258,15.286612260381249,14566168
2019-02-15,15.19550609588623,15.306864636237883,15.165135023158715,15.24612403551978,14064444
2019-02-18,15.31698226928711,15.367600187199665,15.286611209592321,15.286611209592321,26384652
2019-02-19,15.286616325378418,15.327110055365502,15.286616325378418,15.327110055365502,11448276
2019-02-20,15.458711624145508,15.489082683452466,15.367599990960873,15.367599990960873,137231412
2019-02-21,15.610567092895508,15.610567092895508,15.468837526856353,15.468837526856353,74659260
2019-02-22,15.580192565917969,15.580192565917969,15.48908094297139,15.580192565917969,39524068
2019-02-25,15.691553115844727,15.742171029121646,15.651059403117642,15.66118205893135,77461416
2019-02-26,15.732048988342285,15.752297392221747,15.651061551769773,15.721926331138889,63612204
2019-02-27,15.721925735473633,15.732048392293507,15.661183615609286,15.732048392293507,51629956
2019-03-04,15.580192565917969,15.701676789494837,15.529574654339632,15.701676789494837,33878280
2019-03-05,15.539701461791992,15.570072522781848,15.47895933981228,15.509330400802137,37601972
2019-03-06,15.580192565917969,15.60044096633816,15.539698854549727,15.559945710233848,78319168
2019-03-07,15.519455909729004,15.600444897610577,15.509331706967634,15.57007383406293,72959080
2019-03-08,15.387847900390625,15.45871268045831,15.347354181705189,15.42834161907606,39900800
2019-03-11,15.418221473693848,15.41822147369385,15.327108274703024,15.357479341033299,18569560
2019-03-12,15.640939712524414,15.681433436927584,15.549828060248997,15.559950718981504,55429872
2019-03-13,15.610567092895508,15.630813953081613,15.54982651233719,15.600444435170663,40594116
2019-03-14,15.600445747375488,15.671310536355737,15.580197340749807,15.6510636744666,20835024
2019-03-15,15.711800575256348,15.732047432397001,15.62068894575531,15.66118266003662,45935004
2019-03-18,15.81303596496582,15.81303596496582,15.721924338004182,15.742171194580532,48874832
2019-03-19,15.873780250549316,15.873780250549316,15.762420207044046,15.813038127776196,34417184
2019-03-20,15.89402961730957,15.904153820947718,15.833287484953878,15.863658551131724,47424108
2019-03-21,16.025634765625,16.025634765625,15.924398919404673,15.954769982218055,45364852
2019-03-22,16.06612777709961,16.136992557378758,16.005387198890208,16.09649883857249,27721428
2019-03-25,15.823162078857422,15.86365579690636,15.792791017952556,15.813037876977024,28083024
2019-03-26,15.924399375915527,15.934522033985898,15.873781451354281,15.894028312231487,10800360
2019-03-27,15.89402961730957,15.934523342388971,15.833287484953878,15.883905413671425,10222736
2019-03-28,15.89402961730957,15.91427647984927,15.823164826052325,15.853535892230171,13661728
2019-03-29,16.025634765625,16.025634765625,15.843409933481126,15.934521577184853,22721936
2019-04-01,16.1673641204834,16.278724167760387,16.11674619803684,16.197735182898615,44213620
2019-04-02,16.228105545043945,16.288846122516915,16.217981343096948,16.217981343096948,22420368
2019-04-03,16.228105545043945,16.288846122516915,16.187610281992296,16.278723465306257,27468696
2019-04-08,16.379961013793945,16.400207875062772,16.339465746519792,16.359714152525118,31963128
2019-04-09,16.4811954498291,16.4811954498291,16.369835405306976,16.390082264837442,61088188
2019-04-10,16.50144386291504,16.511568066001615,16.420454872431957,16.420454872431957,43452644
2019-04-11,16.430580139160156,16.5115691348861,16.37996220992352,16.471073864654823,33089720
2019-04-12,16.420454025268555,16.46094929078912,16.400207164876488,16.430578227832804,29993636
2019-04-15,16.572311401367188,16.6026824709321,16.51157080697413,16.531817671771815,30726216
2019-04-16,16.622926712036133,16.6330509152054,16.562186127230117,16.57230878566286,31071724
2019-04-17,16.754533767700195,16.78490483272188,16.663422117371667,16.663422117371667,92419348
2019-04-18,16.744407653808594,16.876014557394402,16.69378973279377,16.784902917462265,82761460
2019-04-19,16.76465606689453,16.906385627916656,16.74440766268878,16.85576770687499,50062636
2019-04-22,16.744407653808594,16.82539663637958,16.734284996447442,16.805149776920924,11497248
2019-04-23,16.815271377563477,16.84564088968488,16.714035551195813,16.744405063317217,24048124
2019-04-24,16.84564208984375,16.916508409138846,16.784901516537396,16.88613735011755,12434224
2019-04-25,16.886137008666992,16.896259664978583,16.80514803449328,16.825394891852657,14116156
2019-04-26,16.69379234313965,16.764658679430593,16.64317441420989,16.764658679430593,15260360
2019-04-29,16.76465606689453,16.795025583730446,16.70391394374999,16.724160803219384,12647828
2019-04-30,16.76465606689453,16.784902926363927,16.683667084280593,16.76465606689453,12991564
2019-05-02,16.80514907836914,16.896260714513975,16.784902219752098,16.795024876692473,24622252
2019-05-03,16.957006454467773,16.96713065830539,16.825399528261894,16.825399528261894,121297864
2019-05-06,16.663423538208008,16.724164128694003,16.612805607101347,16.724164128694003,29854448
2019-05-07,16.835519790649414,16.86589085031531,16.7342839549206,16.7342839549206,56045768
2019-05-08,16.714040756225586,16.77478134412014,16.65329862359443,16.68366968991001,54292568
2019-05-09,16.511571884155273,16.643177286294282,16.450829741062755,16.63305462560344,27694692
2019-05-10,16.50144386291504,16.63305077935798,16.37996114955867,16.511568066001615,47176540
2019-05-13,16.228105545043945,16.42045302414619,16.217981343096948,16.42045302414619,74712424
2019-05-14,16.126869201660156,16.207858180501766,15.975015445608246,16.116745000028846,81118520
2019-05-15,16.147117614746094,16.19773553830329,16.08637548858288,16.126870754270502,69047356
2019-05-16,16.00538444519043,16.116742925116807,15.995260244862537,16.096496069197112,68399896
2019-05-17,15.84341049194336,16.106624319288766,15.84341049194336,16.0965001164153,94295304
2019-05-20,15.833285331726074,15.954769579916364,15.823162674201141,15.89402745582122,57219052
2019-05-21,15.873780250549316,15.883902907853935,15.732049145657488,15.792791268430607,79259372
2019-05-22,15.873780250549316,15.924398171281466,15.813038127776196,15.833284987121786,42231964
2019-05-23,15.580192565917969,15.7624173565472,15.559945710233848,15.7624173565472,102730308
2019-05-24,15.661185264587402,15.691556327717368,15.590320480441772,15.600444683063907,24117696
2019-05-27,15.620692253112793,15.691557040477324,15.559950124093762,15.691557040477324,46164288
2019-05-28,15.610567092895508,15.640938155542875,15.559949170062037,15.640938155542875,39249240
2019-05-29,15.539701461791992,15.549825663700721,15.448589823558754,15.489083541721008,38638076
2019-05-30,15.671310424804688,15.691557286549703,15.539703506357286,15.539703506357286,30634636
